SMILES,Molecule_id,Activity Value [nM],Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
CC(F)(F)c1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(Cl)c1,CHEMBL4111183,58.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C4CF0>,463.08344350000004,6,2,3.828500000000002,102.49000000000001,0.3333333333333333,3,13,4,O=C(Nc1cccc(C2CCOC=N2)n1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC270>,ChEMBL
CC(F)(F)c1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,CHEMBL4111103,310.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C4D60>,445.12856385200007,8,3,2.1523,141.40000000000003,0.35294117647058826,3,14,4,O=C(Nc1cccc(C2CCOC=N2)n1)c1cnccn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC2E0>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)CCn1cccn1,CHEMBL3943313,1.4,<rdkit.Chem.rdchem.Mol object at 0x00000260064C4DD0>,586.08106264,8,0,3.786500000000003,104.56000000000002,0.4,5,13,8,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)CCn1cccn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC350>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ccccn1,CHEMBL3934479,1.9,<rdkit.Chem.rdchem.Mol object at 0x00000260064C4E40>,583.0701636079999,7,0,4.485000000000004,99.63000000000001,0.34615384615384615,5,12,7,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)Cc1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC3C0>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1cccnc1,CHEMBL3961972,6.6,<rdkit.Chem.rdchem.Mol object at 0x00000260064C4EB0>,583.0701636079999,7,0,4.485000000000004,99.63000000000001,0.34615384615384615,5,12,7,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)Cc1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC430>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ncon1,CHEMBL3956918,1.7,<rdkit.Chem.rdchem.Mol object at 0x00000260064C4F20>,574.0446771320001,9,0,3.4730000000000016,125.66000000000001,0.391304347826087,5,14,7,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)Cc1ncon1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC4A0>,ChEMBL
Cc1nc(CS(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)no1,CHEMBL3957316,5.8,<rdkit.Chem.rdchem.Mol object at 0x00000260064C4F90>,588.0603271959999,9,0,3.7814200000000033,125.66000000000001,0.4166666666666667,5,14,7,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)Cc1ncon1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC510>,ChEMBL
O=c1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)c[nH]1,CHEMBL3971184,18.7,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5000>,585.049428164,7,1,3.6372000000000018,119.6,0.32,5,13,6,O=c1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OCC23)c[nH]1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC580>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cccnn1,CHEMBL3948649,4.5,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5070>,570.0497625119999,8,0,3.7389000000000028,112.52000000000001,0.3333333333333333,5,13,6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1cccnn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC5F0>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cnccn1,CHEMBL3904071,5.5,<rdkit.Chem.rdchem.Mol object at 0x00000260064C50E0>,570.049762512,8,0,3.7389000000000028,112.52000000000001,0.3333333333333333,5,13,6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1cnccn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC660>,ChEMBL
