Molecule_id,Activity Value [nM],SMILES,Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
131636503,23.3,C1C[C@]2(CCN(C2)S(=O)(=O)C(F)(F)F)C3COC4=C(C=CC(=C4C3(C1)S(=O)(=O)C5=CC=C(C=C5)Cl)F)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16650>,585.0469835519999,5,0,5.021600000000005,80.75,0.4782608695652174,5,14,3,O=S(=O)(c1ccccc1)C12CCC[C@]3(CCNC3)C1COc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BA00>,PubChem
76283685,79.0,CP1(=O)OCC2(CCC[C@@]3([C@H]2COC4=C(C=CC(=C43)F)F)S(=O)(=O)C5=CC=C(C=C5)C(F)(F)F)CO1,<rdkit.Chem.rdchem.Mol object at 0x0000026005F166C0>,552.079487154,6,0,5.701400000000004,78.9,0.4782608695652174,5,13,2,O=[PH]1OCC2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CO1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BA70>,PubChem
74538704,5.4,CP1(=O)OCC[C@]2(CCC[C@@]3([C@H]2COC4=C(C=CC(=C43)F)F)S(=O)(=O)C5=CC=C(C=C5)Cl)CO1,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16730>,532.0687802379999,6,0,5.726100000000005,78.9,0.4782608695652174,5,11,2,O=[PH]1OCC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CO1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BAE0>,PubChem
444795,180.0,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,<rdkit.Chem.rdchem.Mol object at 0x0000026005F167A0>,300.208930136,1,1,5.602600000000005,37.3,0.45,1,2,5,C1=CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BB50>,PubChem
638015,180.0,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16810>,284.214015516,1,0,5.716900000000005,17.07,0.45,1,1,5,C1=CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BBC0>,PubChem
162672238,2050.0,C1CN(CC2C1C3=CC=CC=C3N2)CCCCC(=O)OC4=CC=C(C=C4)/C=C/5\CCN6C5=NC7=CC=CC=C7C6=O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16880>,546.263090948,7,1,5.700100000000005,76.46000000000001,0.3235294117647059,7,7,7,O=C(CCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BC30>,PubChem
162655514,7050.0,C1=CC=C2C(=C1)N=C(O2)/C=C/C3=CC(=O)C(=CO3)O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F168F0>,255.053157768,5,1,2.6570000000000022,76.47,0.0,3,5,2,O=c1ccoc(/C=C/c2nc3ccccc3o2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BCA0>,PubChem
146223006,50.0,C[C@H](C1=CC=CC=C1)NC(=O)C2=CC(=CC(=C2)N(C)S(=O)(=O)C)C(=O)N[C@@H](CC3=CC=CC=C3)[C@H](CNC4CC4)O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16960>,578.256291316,6,4,3.0274000000000014,127.84000000000002,0.3548387096774194,4,10,13,O=C(NCc1ccccc1)c1cccc(C(=O)N[C@H](CCNC2CC2)Cc2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BD10>,PubChem
166628410,1.2,C[C@]1(CN2C(=CC(=N2)C#N)C(=N1)N)C3=C(C=CC(=C3)NC(=O)C4=CN=C(C=N4)OCF)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F169D0>,438.136428192,9,2,1.8762799999999997,144.1,0.2,4,12,5,O=C(Nc1cccc(C2Cn3nccc3C=N2)c1)c1cnccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BD80>,PubChem
166631297,8.5,C[C@]1(CN2C=C(N=C2C(=N1)N)C#N)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)C#N)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16A40>,414.13528532000004,8,2,2.04716,145.77,0.14285714285714285,4,10,3,O=C(Nc1cccc(C2Cn3ccnc3C=N2)c1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BDF0>,PubChem
